source,word,aoa,arousal,conc,dom,fam,gender,image,size,valence,humor,social
scope,basket,0.941,1.679,1.166,1.055,1.155,0.851,1.238,1.397,0.954,1.274910517,2.194148061
scope,battle,0.967,2.45,1.21,2.145,1.863,0.933,1.45,0.968,1.491,0.801277389,1.884661257
scope,bead,0.982,1.939,0.943,1.607,1.871,0.992,1.505,1.141,1.013,1.177628664,1.179184545
scope,beer,1.478,2.107,0.897,1.861,0.728,0.963,0.564,1.474,1.762,1.447281471,1.870300435
scope,beggar,1.446,1.896,1.439,2.161,1.66,0.833,1.077,1.231,1.215,1.264657651,1.870300435
scope,belief,1.271,2.292,1.977,2.509,1.483,0.955,1.775,1.46,1.696,1.088519154,1.852827843
scope,bitch,1.088,2.526,1.943,2.547,1.361,1.205,1.518,1.54,0.996,1.452966315,2.348896766
scope,blame,1.185,2.151,1.61,2.073,1.218,1.406,1.103,1.055,1.203,0.992277877,1.554911225
scope,bliss,1.249,2.451,1.837,2.243,1.672,1.157,1.802,1.456,1.264,1.19301317,2.058998223
scope,blister,1.26,2.157,0.944,1.376,1.418,1.12,1.141,1.585,1.056,1.158201407,0.701964118
scope,blood,1.032,1.966,1.308,1.516,0.992,0.977,1.115,1.659,1.518,0.794376789,1.555304579
scope,blouse,1.579,2.052,1.495,1.409,1.807,0.78,1.472,1.189,1,1.092969021,1.883512423
scope,boast,1.063,1.87,1.468,1.42,1.468,1.254,1.317,1.314,1.313,1.177837674,1.918162617
scope,bondage,0.818,2.598,1.737,2.892,2.111,1.183,1.377,1.521,1.788,1.609113828,2.250146194
scope,bonnet,1.708,2.06,0.706,1.217,1.816,1.754,1.205,1.166,0.952,1.064208477,1.236787884
scope,bounce,1.01,1.867,1.658,1.435,1.408,0.861,1.509,1.182,1.213,0.983769806,1.669299633
scope,bowel,1.168,1.837,1.164,1.425,1.971,0.983,1.486,1.44,1.771,1.326267394,0.841191024
scope,bowl,0.968,2.27,0.742,1.23,1.231,0.985,1.207,1.261,0.686,1.289909123,1.453462801
scope,bracket,1.127,1.499,1.271,0.895,1.735,0.757,1.725,1.471,0.435,1.11894259,1.293709477
scope,breakfast,0.636,2.479,1.353,1.536,1.064,0.948,1.044,1.529,1.222,1.069759331,1.387074839
scope,breast,1.429,1.758,0.657,1.432,1.158,0.937,0.883,1.329,1.493,1.343430238,2.105445424
scope,bulge,1.344,2.17,1.495,1.793,1.668,1.451,1.25,1.332,1.723,1.357498814,1.460893742
scope,button,1.038,2.219,0.875,1.575,0.87,1.172,0.636,0.936,0.807,1.101746865,0.528413455
scope,camp,1.45,1.948,1.53,1.367,1.643,1.158,1.654,1.547,0.808,1.206045378,1.974403302
scope,cancer,1.415,2.54,1.435,2.752,0.945,1.034,2.04,1.59,0.544,0.852085923,1.991086858
scope,candle,1.116,1.784,0.665,1.425,1.075,1.228,0.418,1.281,1.35,1.128280051,1.209113941
scope,candy,1.304,2.275,1.09,1.785,1.902,0.873,0.588,1.316,1.363,0.993975849,1.796822592
scope,canoe,0.94,2.188,0.627,1.596,1.654,0.935,0.552,1.553,1.101,1.149212624,2.211442107
scope,carcass,1.107,2.564,1.514,1.499,1.828,0.992,1.639,1.5,1.428,1.483023592,1.573591585
scope,caress,0.943,1.836,1.439,1.776,1.498,0.969,1.556,1.453,1.298,1.240691145,2.303620339
scope,carpet,1.022,1.819,0.944,1.94,1.077,0.962,0.955,1.533,1.105,1.181046906,1.138903617
scope,carriage,1.321,2.066,0.969,1.394,1.845,1.132,0.939,1.731,1.028,1.059874206,1.667017507
scope,castle,1.011,2.027,0.906,1.975,1.258,1.249,0.567,1.058,1.48,1.027666075,1.845837107
scope,cattle,1.296,1.634,0.978,2.184,1.707,1.117,1.174,1.859,1.066,1.014832527,1.700964618
scope,caution,1.165,2.428,1.277,1.667,1.683,1.2,1.718,1.164,1.692,1.028892944,2.029198625
scope,cease,1.311,2.058,1.684,1.918,1.807,1.013,1.441,1.536,1.281,0.957034961,1.956231026
scope,ceiling,1.036,1.925,0.723,1.713,1.25,1.162,1.216,1.3,0.747,0.975506485,1.405000347
scope,chauffeur,1.129,2.069,0.935,2.379,1.774,1.244,0.731,1.632,1.535,1.248808956,2.064438123
scope,chest,1.164,1.532,0.948,1.779,1.175,1.46,0.914,1.576,1.57,1.116831155,1.803505359
scope,chew,1.166,2.112,1.569,1.662,0.987,0.575,1.536,1.096,1.172,1.250210066,1.559111939
scope,child,0.98,2.09,0.969,2.116,0.918,1.177,0.552,0.992,1.512,1.107421086,1.901127485
scope,chord,1.453,2.227,1.609,1.359,1.552,1.053,1.837,1.182,1.218,1.134441061,1.768791449
scope,circuit,1.217,1.736,1.531,1.585,1.661,1.216,1.627,1.67,0.968,1.136515141,1.842852109
scope,city,1.216,1.851,1.067,2.169,0.673,0.698,0.748,1.166,1.302,1.075759297,1.370208143
scope,class,0.874,2.129,1.592,1.611,1.114,0.818,1.389,1.689,1.334,1.108409414,1.621286967
scope,clergy,1.259,1.787,1.648,1.811,1.615,1.007,1.478,1.359,1.462,1.15744656,2.11649053
scope,cloak,1.494,2.236,0.916,1.525,2.078,1.247,0.848,1.422,1.294,1.146423008,1.727337735
scope,closure,1.138,1.923,1.623,2.242,1.541,1.116,1.671,1.373,1.789,0.91581094,2.165750722
scope,clover,1.344,2.111,1.403,1.662,1.781,1.156,0.696,1.556,1.432,1.380821012,1.820208201
scope,coffin,1.155,2.558,0.507,1.919,1.698,0.694,1.061,1.577,1.2,1.149487417,2.357359297
scope,column,1.2,1.81,1.271,1.613,1.7,0.827,1.554,1.563,1.016,1.141194804,1.397575177
scope,comb,1.122,1.937,0.696,1.284,1.231,1.529,0.814,0.967,0.559,1.180193689,1.503963019
scope,compass,1.289,1.892,1.061,2.117,1.448,1.043,1.387,1.298,0.847,0.897451235,1.546116487
scope,complex,1.075,2.157,1.258,1.892,1.511,1.498,1.52,1.428,1.441,0.921662826,2.103902784
scope,concept,1.219,2.2,1.393,1.785,1.476,0.831,1.438,1.273,1.26,0.967863055,2.126438132
scope,consent,1.266,2.088,1.72,2.422,1.262,1.029,1.647,1.234,1.649,1.12815215,1.70014005
scope,console,1.19,2.035,1.732,1.89,1.574,1.326,1.839,1.322,1.659,0.972813059,2.171955641
scope,contempt,1.221,2.159,1.54,1.95,1.579,1.245,1.532,1.473,1.649,1.046041538,2.128296095
scope,context,1.244,1.953,1.498,1.267,1.388,0.74,1.275,1.486,1.155,1.189904625,2.087377028
scope,contract,1.194,1.594,1.479,2.428,1.187,0.833,1.41,1.424,1.574,0.974307632,1.998187585
scope,costume,0.867,2.094,1.513,1.559,1.57,1.088,1.248,1.256,1.533,1.162636718,1.852452144
scope,cottage,1,1.978,0.597,1.599,1.223,1.014,0.552,1.738,1.254,1.11894259,1.816699
scope,cotton,1.187,2.225,0.998,1.453,1.592,1.159,1.082,1.635,1.136,1.083791112,0.912870929
scope,couch,1.086,2.077,0.552,1.428,1.35,0.861,0.594,1.396,1.343,1.19900434,1.950980295
scope,cough,1.131,1.909,1.055,1.887,1.023,0.708,1.214,0.96,1.063,1.035864795,1.970368732
scope,county,1.043,1.572,1.323,1.403,1.877,0.923,1.711,1.131,0.605,1.241495284,2.194148061
scope,courage,1.255,1.106,1.074,1.303,1.567,1.255,1.714,1.008,1.099,0.951112709,1.888178326
scope,crab,0.805,1.756,0.466,1.396,1.586,0.838,0.851,1.079,0.774,1.289403574,1.668115312
scope,cricket,1.271,1.97,1.484,1.476,1.944,1.007,1.167,1.654,0.684,1.18667588,2.49284691
scope,crisis,1.069,2.366,2.019,1.844,1.499,1.098,1.772,1.162,0.786,0.912870929,1.785584411
scope,crude,1.29,1.467,1.181,1.323,1.381,1.026,1.248,1.071,1.367,1.155086403,1.691716513
scope,crystal,1.241,2.016,1.347,1.159,1.755,1.132,1.099,1.582,1.351,1.148280622,1.51409713
scope,cuddle,1.094,2.071,1.422,2.447,0.967,0.967,0.862,1.563,1.224,1.295638329,1.263027353
scope,culture,1.077,1.947,1.878,2.085,0.91,0.802,1.478,0.829,1.255,0.999425122,1.017954755
scope,cure,1.15,1.931,1.495,1.561,1.286,0.931,1.787,1.414,1.118,1.191366794,2.167004022
scope,curtain,1.197,1.907,0.694,1.08,1.311,0.889,0.668,1.236,0.808,1.067607112,1.184313051
scope,cushion,0.994,2.04,1.348,1.543,1.243,0.989,0.911,1.286,1.138,0.97911662,1.316561177
scope,dance,1.208,1.688,1.554,1.848,1.174,0.935,0.893,1.261,1.365,1.28263841,2.016728459
scope,dandruff,1.179,1.561,1.039,1.615,1.792,1.299,0.987,1.46,1.399,1.293039527,1.157230006
scope,dare,1.226,2.001,1.366,2.075,1.352,1.188,1.785,1.039,1.391,1.261979632,2.309401077
scope,date,1.481,2.452,1.351,1.909,0.977,1.231,1.757,1.373,1.382,1.08062718,2.228986193
scope,delight,1.124,1.485,1.69,1.79,1.216,1.052,1.552,1.531,1.187,1.197377184,2.138486037
scope,desert,1.184,2.117,1.431,2.228,1.432,1.031,1.293,2.053,1.739,0.894595048,1.311220136
scope,despair,1.071,2.83,1.933,1.181,1.608,0.696,1.918,1.417,1.141,0.974028491,2.245463262
scope,dessert,1.345,2.323,1.042,1.875,1.375,1.375,0.645,1.806,1.879,1.410014997,2.110066575
scope,device,1.415,2.135,1.663,1.296,1.095,0.728,1.799,1.316,0.796,1.084151565,1.943465018
scope,dinner,0.63,2.014,1.037,1.351,0.929,1.13,1.237,1.47,1.406,1.164412236,1.997617629
scope,disgust,1.04,2.196,1.737,2.088,1.52,1.264,1.596,1.24,1.071,0.91581094,2.015416771
scope,doctor,0.774,1.721,0.971,1.984,0.82,1.182,0.7,1.417,1.795,0.922889017,1.553797192
scope,doctrine,0.624,2.469,1.754,2.652,1.81,0.933,1.483,1.292,2.166,1.022437358,2.11649053
scope,donkey,1.104,2.149,0.844,1.689,1.807,1.355,0.841,1.282,0.968,1.317353267,1.781547935
scope,doom,1.083,2.698,0.999,1.871,1.783,0.989,1.478,1.323,0.979,1.290649217,2.083247693
scope,doubt,1.429,1.927,1.141,1.515,1.098,0.867,1.395,1.358,0.985,1.10537267,1.848422751
scope,dread,1.116,2.153,1.09,1.39,1.68,0.848,1.556,1.475,0.878,0.880546602,2.018687399
scope,duty,1.153,2.162,1.748,2.363,1.596,1.5,1.516,1.243,1.618,1.03955388,1.817288153
scope,ease,1.194,2.108,1.424,1.838,1.679,0.913,1.786,0.993,1.273,1.222866427,1.994062332
scope,employ,1.232,1.94,1.389,2.163,1.556,0.783,1.291,1.317,1.634,0.95442358,1.914166038
scope,escort,0.971,2.129,1.669,1.836,1.841,1.532,1.515,1.364,1.211,1.249242195,1.455533261
scope,essence,1.241,1.98,1.538,1.498,1.871,1.004,1.631,1.524,1.19,0.99598123,1.799758438
scope,excuse,0.965,1.803,1.543,2.151,1.094,1.296,1.997,1.54,1.432,1.202113039,2.389058881
scope,faith,1.276,2.668,1.631,2.567,1.635,1.071,1.73,1.618,2.158,0.893224195,2.323223713
scope,fame,1.183,1.938,1.73,2.713,1.663,1.314,1.983,1.758,2,1.09006206,1.756458063
scope,farewell,1.218,1.923,1.292,1.604,2.114,1.039,1.715,1.217,1.443,1.028892944,1.536848972
scope,fault,1.178,2.102,1.326,1.859,1.3,0.905,1.613,1.389,1.004,1.290649217,2.119074371
scope,feat,1.428,2.128,1.603,1.441,1.931,0.846,1.436,1.608,1.509,0.963413207,1.8516402
scope,fiction,1.207,2.14,1.722,1.28,1.416,0.9,1.526,1.391,1.381,1.003780732,1.987112629
scope,figment,1.147,2.395,1.067,1.729,1.817,0.887,1.713,1.838,1.243,1.282334287,1.84709629
scope,fire,0.712,1.316,0.81,2.43,1.225,1.577,0.952,1.491,1.877,1.18288053,1.949358869
scope,flea,1.254,1.761,0.954,1.781,1.94,0.861,1.499,0.917,1.369,1.079452357,1.951158001
scope,fleet,1.163,2.431,1.422,1.592,1.859,1.255,1.798,1.754,1.002,1.077631812,2.149051198
scope,flourish,1.032,1.944,1.485,2.248,1.715,1.331,1.924,1.381,1.203,1.091511727,1.915984256
scope,food,0.644,1.771,0.634,1.874,0.337,0.884,0.619,1.326,1.229,1.014105069,2.335496832
scope,forehead,1.078,1.609,0.658,1.237,1.192,0.721,0.532,1.497,0.648,1.416732199,1.368318082
scope,forge,1.275,1.996,1.807,1.789,1.784,1.234,1.54,1.183,1.447,1.213720841,1.893826836
scope,fortress,1.151,1.875,1.058,2.312,1.804,1.538,1.331,1.243,1.413,1.08012345,1.73616984
scope,fraud,1.2,2.047,1.552,2.155,1.866,0.917,1.347,1.161,0.966,1.019195609,2.202939213
scope,freedom,1.159,1.704,1.396,1.461,1.077,1.228,1.99,1.268,0.65,1.14722667,1.241572381
scope,function,1.213,1.77,1.688,1.681,1.023,1.311,1.636,1.393,0.972,0.992395327,2.021174146
scope,fuss,1.085,1.945,1.118,1.531,1.432,1.108,1.905,1.348,1.196,1.362919608,1.94569121
scope,gain,1.231,2.027,1.4,1.44,1.341,0.897,1.843,1.478,1.785,1.067471685,1.744556752
scope,game,0.785,1.982,1.452,1.428,0.929,1.305,1.278,1.138,1.612,1.296849329,1.899179838
scope,garbage,1.248,1.665,1.256,2.121,2.09,1.082,1.232,1.634,1.136,1.484967409,1.74755689
scope,giraffe,0.647,2.274,0.284,1.278,1.67,0.924,0.368,1.786,0.922,1.398924318,0.647280721
scope,gist,1.227,1.973,1.398,1.555,1.839,0.815,1.492,1.548,1.155,0.865314089,1.904979624
scope,glacier,1.15,2.222,1.228,1.851,1.914,1.339,0.847,1.694,1.406,1.159171325,1.690308509
scope,glee,1.61,2.283,1.508,1.754,1.776,0.967,1.77,1.418,1.456,1.30536135,2.056033251
scope,gloom,1.144,2.069,1.085,1.735,1.779,0.861,1.887,1.399,1.029,1.086041979,1.940285
scope,goose,1.063,1.909,1.178,1.13,1.341,0.919,1.008,1.363,0.685,1.188546877,1.367526918
scope,greed,1.277,2.311,1.623,2.235,1.32,1.114,1.648,1.528,1.12,1.002460028,1.818424226
scope,grind,1.333,2.38,1.436,1.775,1.675,1.2,1.859,1.158,1.61,1.046928418,1.936771089
scope,guilt,1.286,2.355,1.289,1.694,1.279,1.127,1.328,1.144,1.177,0.762000762,1.651262144
scope,guitar,0.879,1.864,0.642,1.285,1.014,1.052,0.738,1.308,1.24,1.213042238,2.273982337
scope,hall,1.541,1.335,1.15,1.118,1.291,0.803,1.012,1.274,0.547,1.087114613,2.152216214
scope,ham,0.654,2.32,0.8,1.195,1.15,0.882,0.691,1.216,1.499,1.248808956,1.490319641
scope,hammock,1.217,2.19,0.841,1.226,1.856,0.94,1.249,1.717,1.207,1.141914294,1.62761261
scope,hand,1.044,2.111,0.745,2.062,0.322,1.299,0.373,1.655,1.32,1.089144076,2.088677356
scope,handle,1.23,1.784,1.314,1.749,1.326,0.917,1.668,1.305,1,1.082780584,1.954185401
scope,harvest,1.386,2.128,1.459,1.341,1.662,1.122,1.6,1.064,1.145,1.055221334,2.052872552
scope,hate,1.496,2.892,1.823,2.949,1.282,1.268,1.997,1.616,1.306,0.768114575,1.895540449
scope,head,0.539,2.11,0.874,1.383,0.494,0.867,0.936,1.149,1.272,1.089422831,1.435481125
scope,health,1.029,2.044,1.513,1.757,0.724,0.643,1.638,1.364,1.556,1.086118631,2.168768617
scope,heaven,1.098,2.176,1.563,2.383,1.502,1.115,2.143,1.208,1.441,1.063219066,2.358262816
scope,hit,0.962,2.256,1.273,2.236,1.258,1.05,1.24,1.765,1.323,1,2.37062925
scope,honey,0.932,2.069,1.508,1.798,1.185,1.047,1.403,1.064,1.395,1.081958835,1.968692961
scope,hope,1.026,1.725,1.876,2.129,0.948,1.175,1.883,1.521,1.306,1.047065191,2.027943321
scope,hostage,0.959,2.614,1.479,1.994,1.837,1.333,1.25,1.536,1.009,1.088214375,2.193234297
scope,hostess,1.433,2.062,1.41,1.833,1.749,0.841,1.375,1.164,1.451,1.300887271,1.336623083
scope,hurdle,0.906,1.777,1.615,1.789,1.731,0.849,1.669,1.044,1.197,1.21083934,1.682382048
scope,husband,1.248,2.251,1.543,1.698,1.037,0.976,1.458,1.425,1.344,1.24838357,1.274044115
scope,impress,1.196,1.641,1.708,1.4,1.029,1.136,1.536,1.127,1.141,1.142692927,1.852925615
scope,incest,0.943,2.765,1.967,1.937,1.93,1.091,2.198,1.908,0.735,1.082974137,1.351606388
scope,island,0.924,2.277,1.236,1.543,1.635,0.91,0.974,1.977,1.48,1.243703353,1.760558746
scope,issue,1.309,2.083,1.629,2.019,1.229,1.108,1.636,1.242,1.277,1.076385607,1.877147893
scope,item,1.218,2.011,1.538,0.944,1.282,0.609,1.908,1.343,0.93,0.997981834,1.927248223
scope,jacket,1.126,1.665,0.498,1.456,0.878,1.244,0.446,1.071,0.893,1.222548018,1.341640786
scope,jewel,0.897,1.929,0.881,1.571,1.701,0.979,0.599,1.686,1.552,1.136114564,2.18028053
scope,jungle,0.816,2.129,0.957,1.083,1.803,1.122,1.094,0.808,0.998,1.136903259,1.687488977
scope,junk,1.101,1.923,1.597,1.537,1.538,0.981,1.42,1.311,1.12,1.270977819,1.374368542
scope,justice,1.175,1.743,1.558,1.937,1.337,1.381,1.729,1.209,1.5,1.106829357,1.097024705
scope,kill,1.12,3.157,1.806,3.181,1.743,1.036,1.518,1.624,1.131,0.814779446,2.40634083
scope,knock,1.373,2.073,1.229,1.43,1.002,1.157,1.452,1.467,0.934,1.183596596,2.081146038
scope,knowledge,0.96,1.184,1.517,1.717,0.973,1.031,1.948,1.293,1.003,0.981887246,1.906795628
scope,lace,1.327,2.129,0.836,1.574,1.629,1.175,1.15,0.98,1.055,1.213790293,1.267629306
scope,ladder,1.011,1.717,0.691,1.922,1.187,0.949,0.996,1.409,1.019,1.055363967,1.22232203
scope,launch,1.261,1.965,1.379,1.57,1.599,0.811,1.545,1.355,1.153,1.11544017,2.242447642
scope,leaf,0.785,2.322,1.156,1.849,1.148,1.108,1.582,1.122,0.98,1.243477607,1.543826159
scope,leisure,1.259,2.302,1.81,1.74,1.44,1.267,1.271,1.177,1.373,1.167703206,1.823369223
scope,leopard,1.288,1.837,0.75,1.758,1.586,1.162,0.381,1.395,1.202,1.175923339,1.017954755
scope,lettuce,1.413,1.863,0.553,1.661,1.166,1.048,0.583,1.126,1.105,1.303126355,1.140555041
scope,limit,1.175,1.746,1.599,2.059,1.267,0.702,1.557,1.83,1.331,1.07425462,1.926515624
scope,line,0.81,1.59,1.48,1.441,1.379,0.445,1.45,1.141,1.055,1.040451672,1.266784545
scope,lobster,1.13,1.795,0.539,1.155,1.654,0.873,0.756,1.283,0.986,1.330124344,1.694418081
scope,luck,1.013,1.438,1.53,2.687,1.552,0.869,2.075,1.866,1.251,1.383466116,1.925513526
scope,luggage,1.443,1.863,0.691,1.48,1.986,1.241,1.041,1.494,1.079,1.255529641,1.860633366
scope,lumber,1.446,1.514,1.9,1.422,1.976,0.922,2.168,1.532,0.875,1.273558487,1.146423008
scope,lunch,0.826,2.051,1.278,0.959,0.612,0.774,1.025,1.388,1.104,1.199747448,1.766082563
scope,lust,1.197,1.73,1.677,2.832,1.363,1.888,1.949,1.265,2.297,1.24244598,1.941842164
scope,malice,1.136,2.201,1.493,2.133,1.817,1.07,1.293,1.284,1.31,0.9508952,1.996320144
scope,mammal,1.309,2.055,0.986,1.559,1.237,0.916,0.855,1.171,1.224,1.20974876,2.237035763
scope,mansion,1.201,1.723,0.552,1.7,1.639,1.164,0.908,1.623,1.597,1,2.062190966
scope,marvel,0.988,2.144,1.54,1.837,1.682,1.33,1.746,1.266,1.326,1.331103304,2.36743386
scope,mate,1.204,1.709,1.574,1.671,1.341,1.237,1.543,1.461,1.291,1.059450753,1.361114095
scope,melon,1.003,2.138,0.632,1.13,1.186,0.928,0.7,1.5,1.071,1.310834668,1.398824491
scope,menace,1.461,1.892,1.264,2.174,1.978,0.994,1.641,1.393,1.226,1.182255164,1.880837422
scope,merchant,1.118,1.544,1.221,1.488,1.946,0.829,1.341,1.231,0.879,1.275914178,1.977948609
scope,message,1.169,1.826,1.54,1.273,1.086,0.733,1.476,1.23,0.848,1.047245456,1.849885921
scope,metal,0.987,1.904,0.901,1.409,1.149,0.897,1.174,1.447,0.817,0.850292018,0.902137913
scope,methane,1.042,2.287,1.591,1.344,1.906,0.908,1.965,1.727,1.141,1.084151565,1.719453907
scope,method,1.272,1.557,1.231,1.679,1.368,1.098,1.659,1.136,1.063,0.958926603,1.695422919
scope,midst,1.368,1.634,1.314,1.249,1.846,0.87,1.465,1.218,0.84,1.157618664,1.289148852
scope,mirror,0.636,1.941,0.647,1.391,0.899,1.016,1.194,1.421,1.255,1.117279325,1.616875293
scope,mischief,1.395,1.995,1.182,1.949,1.633,1.161,1.623,1.328,1.726,1.090526163,1.856776521
scope,mistress,0.857,2.569,1.326,2.233,1.672,1.541,1.784,1.515,1.616,1.136515141,1.31601066
scope,model,1.037,1.917,1.64,1.828,1.427,0.997,1.396,1.231,1.097,1.075759297,2.146677691
scope,moisture,1.271,1.409,1.51,0.846,1.243,0.85,1.332,1.505,1.461,1.012682342,0.824225592
scope,moment,0.927,2.186,1.069,1.441,1.177,0.863,1.381,2.059,1.261,1.113725557,2.215646838
scope,monarch,1.521,1.97,1.56,2.668,1.5,1.672,1.359,1.393,1.843,1.282136749,1.83245593
scope,monkey,0.747,2.181,0.881,0.769,1.661,0.899,0.404,1.461,1.094,1.389032672,1.768238295
scope,monster,0.719,2.212,2.097,2.39,1.676,0.925,1.248,1.538,1.357,1.236336738,1.865615041
scope,mood,1.118,2.141,1.335,1.762,0.792,0.744,1.61,1.475,1.356,1.129726538,1.900102526
scope,morsel,1.43,1.658,1.599,1.692,1.946,0.965,1.554,1.58,1.593,1.14890242,1.637988564
scope,moth,0.879,1.757,0.696,1.55,1.648,0.942,0.476,0.986,1.163,1.232762927,0.782718482
scope,mother,0.897,2.058,1.414,2.59,1.037,0.373,0.785,1.436,1.141,1.243602246,0.963086825
scope,mug,0.937,1.589,1.016,1.213,1.082,1.148,0.957,1.214,0.985,1.25762045,1.968078589
scope,mural,1.189,2.072,1.617,1.309,1.733,1.089,1.703,1.565,1.444,1.010582305,1.827545061
scope,myth,1.266,1.574,1.037,1.604,1.6,1.273,1.804,1.51,1.444,1.06089871,2.081349517
scope,necklace,1.116,1.894,0.613,1.748,0.889,0.648,0.84,1.311,1.13,1.363108402,1.249561327
scope,nectar,1.456,2.053,1,1.077,1.63,1.051,1.675,1.216,1.534,1.206582138,1.420322505
scope,needle,0.709,2.731,0.658,1.826,1.705,1.232,0.904,1.586,1.277,1.048296109,1.201119373
scope,neglect,0.874,2.85,1.623,1.81,1.717,0.994,1.926,1.652,0.767,0.752431955,1.921936674
scope,neutral,1.266,1.59,1.205,1.099,1.511,0.821,1.473,0.9,0.632,0.88593112,1.847778589
scope,notion,1.187,2.011,1.037,1.202,1.625,0.731,1.243,1.694,0.922,0.977581211,1.875450884
scope,nuisance,1.25,2.075,1.433,1.775,1.683,1.295,1.801,1.541,1.115,1.288910518,2.060975266
scope,nurture,1.362,2.337,1.842,2.115,1.85,1.008,1.534,1.456,1.361,1.001423488,2.174229226
scope,office,1.013,1.861,0.935,1.672,0.997,0.891,0.798,1.402,1.077,1.171893055,2.058998223
scope,ordeal,1.479,2.184,1.43,1.518,1.759,1.09,1.729,1.179,1.247,1.185895951,2.015631554
scope,outrage,1.214,2.687,1.77,2.381,1.171,1.693,1.739,1.192,1.098,1.196887498,1.906301898
scope,packet,1.008,1.767,1.267,1.179,0.962,0.816,1.288,1.204,1.124,1.25638156,1.286905778
scope,palace,0.968,2.278,1.053,2.319,1.43,1.402,1.251,1.453,2.041,1.078436465,2.068104513
scope,pamphlet,1.086,1.891,0.956,1.213,1.755,1.044,0.698,1.419,0.919,1.053884214,2.255026591
scope,panther,1.658,2.265,0.489,2.169,1.946,1.317,1.481,1.387,1.09,1.061552608,1.889249605
scope,parade,1.253,1.955,1.166,1.321,1.552,1.201,1.2,1.095,1.489,1.199747448,1.78376517
scope,parrot,1.076,2.316,0.536,1.336,1.802,1.079,0.771,1.324,1.379,1.234591643,1.410487038
scope,passage,1.074,2.252,1.581,1.267,1.579,0.858,0.923,1.165,1.293,1.099766414,1.984998083
scope,passion,1.038,1.741,1.839,1.609,1.104,1.526,1.766,1.082,1.139,1.20974876,1.909760757
scope,pause,1.058,1.701,1.494,1.595,1.157,0.736,1.696,1.205,0.867,1.121223821,2.081665999
scope,pelvis,1.166,1.963,0.849,1.543,1.516,1.401,1.295,1.311,0.965,1.293193135,0.843482336
scope,pension,1.175,2.257,1.5,1.765,1.701,0.671,1.294,1.444,1.629,1.187542172,1.976173868
scope,people,1.238,2.081,1.237,2.359,0.978,1.082,1.226,0.988,1.385,1.11661336,0.300792604
scope,person,1.149,2.371,1.149,1.311,0.752,0.489,1.216,1.459,1.392,0.995485304,1.596126263
scope,pest,1.408,2.218,1.516,1.828,1.541,0.93,1.379,1.722,1.1,1.220090242,1.860619456
scope,phantom,1.314,2.371,1.573,2.071,1.579,1.005,1.861,1.436,1.221,1.273558487,1.886956825
scope,phase,1.241,1.732,1.602,1.19,1.262,0.63,1.382,1.086,0.838,0.884757424,1.587427963
scope,pheasant,1.557,1.61,0.875,1.703,2.059,0.876,1.294,1.393,0.873,1.232362194,1.585715218
scope,picket,1.259,1.919,1.215,1.459,2.11,0.987,1.62,1.146,1.275,1.282358937,1.986136159
scope,picture,0.977,2.226,1.422,1.291,0.736,0.805,1.51,1.301,1.078,1.025955491,2.062431378
scope,piece,1.061,1.77,1.514,1.115,1.278,0.69,1.419,1.132,0.919,1.035914224,1.458309524
