source,word,foot_leg,hand_arm,head,mouth,torso
gpt35,COLONIZE,0,1.85,1.17,1.949,1.949
gpt35,COLOR,0,2.449,0,0,0
gpt35,COMATOSE,0,0,2.449,0,0
gpt35,COMBUST,1.96,1.85,0,0,0
gpt35,COMMOTION,0,0.49,1.748,1.939,0.39
gpt35,COMPATIBILITY,0.39,0.379,1.789,1.051,0.4
gpt35,COMPLICATED,0.379,1.949,0.8,0.379,0.8
gpt35,COMPOSITIONALLY,0,0.379,0.39,0,0
gpt35,COMPROMISING,0,0,0,0,1.949
gpt35,CONFUSABILITY,0.39,0.379,1.72,1.051,0.49
gpt35,CONGRUOUSLY,0.379,0,1.2,0.379,0.49
gpt35,CONSTITUTION,0.379,1.949,0.8,0.379,0.8
gpt35,COPE WITH,0.39,0.379,1.095,1.051,1.855
gpt35,COPYHOLDER,0.39,2.449,0,0,0.379
gpt35,CORPSE,0.39,0.379,1.789,1.051,0.4
gpt35,CRACKERS,0.379,1.166,0.379,1.833,0.657
gpt35,CRITTER,0,1.2,1.949,0,0
gpt35,CULMINATION,0.379,0,0.8,0.379,0.8
gpt35,CURATIVE,0,1.897,0.39,0,1.949
gpt35,CUTLET,0.379,1.2,0.704,1.833,0.447
gpt35,DEACTIVATION,0,0,0,0,0
gpt35,DEBARK,1.949,2.449,0,0,0.379
gpt35,DECADENT,0,0.98,1.554,0.49,0.39
gpt35,DECENTNESS,0.379,0,0.8,0.379,0.8
gpt35,DECORATIVE,0,2.059,0,0,0
gpt35,DEFERRED,0.39,0.379,1.789,1.051,0.4
gpt35,DEFINITELY,0,0.379,1.559,0,0
gpt35,DEFINITIVE,0.39,0.379,1.789,1.051,0.4
gpt35,DEFORMED,0.39,0.379,1.789,1.051,0.4
gpt35,DEGREASER,2.227,1.528,0,0,0
gpt35,DEMOGRAPHICALLY,0.39,0.379,1.095,1.051,1.939
gpt35,DEODORANT,1.96,1.528,0,0,1.857
gpt35,DEPARTMENTALIZE,0,0,0,0,1.949
gpt35,DEPRECIATIVELY,0,0.39,1.939,0.39,0.4
gpt35,DETACHER,0,0.39,0,0,0
gpt35,DISENTANGLEMENT,0.379,1.863,1.2,0.379,0.8
gpt35,DISORIENT,0,0.912,1.833,0.78,0.8
gpt35,DISPROOF,0.39,0.379,1.789,1.051,0.8
gpt35,DISRESPECTFUL,0,0,0.39,0,1.949
gpt35,DISSECT,0,1.793,2.449,0,1.949
gpt35,DOGLIKE,0.39,0.379,1.095,1.051,1.939
gpt35,DOUGH,0.379,1.625,0.704,0.98,0.657
gpt35,DOZE,0.369,0.456,1.855,0.78,0.8
gpt35,DRAGGED,1.863,1.939,1.949,0,0.379
gpt35,DREARILY,0,0,1.17,0,0
gpt35,DRUDGE,0,0.78,1.939,0.39,0.8
gpt35,DRY CLEANER,0,1.17,0.8,0.78,0.8
gpt35,EARLY,0,0.78,2.059,1.11,0.8
gpt35,ECONOMY,0,0,0,0,0
gpt35,EIGHT,0,1.897,0.39,0,0
gpt35,ELECTROMETER,2.315,1.793,0,0,1.949
gpt35,EMERGENCY EXIT,1.96,0.759,0.39,1.949,1.949
gpt35,EMULATOR,0,0.78,1.2,1.17,0.8
gpt35,ENGAGED,0.78,0.379,1.625,0.704,1.96
gpt35,ENTRENCHMENT,0,1.897,0.78,0,0
gpt35,ENTREPRENEURSHIP,0,1.897,0.39,0,1.949
gpt35,EPILEPSY,0.39,0.379,1.855,1.051,0.4
gpt35,EROGENOUS,0,1.897,0.39,1.972,0
gpt35,EVOLVEMENT,0,0,0.78,0,0
gpt35,EXCOMMUNICABLE,0,0,1.17,0,0
gpt35,EXPRESSION,0,0.748,1.57,1.549,0.754
gpt35,EXTENDIBILITY,0,0.78,1.96,0.78,0.8
gpt35,EXTENSIVELY,0,0.379,1.17,0,0
gpt35,EXTRACTIVE,0,1.2,0,0,0
gpt35,EXTREMISM,0.39,0.379,1.789,1.051,0.4
gpt35,EYE DROPS,1.96,1.748,2.449,0,0
gpt35,EYEWASH,1.96,1.748,2.449,0,0
gpt35,FACTORY,0,1.673,0,0,1.949
gpt35,FANGED,0,0.894,0,1.855,0.39
gpt35,FAT CAT,0.369,1.183,2.059,1.17,0.8
gpt35,FIENDLIKE,0.39,0.379,1.789,1.051,0.4
gpt35,FILMGOER,0,1.784,1.17,0,1.949
gpt35,FIND,0.369,0.912,2.245,1.17,0.8
gpt35,FIREBOAT,1.949,1.939,1.949,0,0
gpt35,FIRECRACKER,0,1.183,2.059,0.912,0.8
gpt35,FLAMMABLE,2,0,1.17,0,2.096
gpt35,FLUTE,0,1.02,0.379,1.939,0.456
gpt35,FOODSTUFF,0,1.2,0.704,1.833,0.657
gpt35,FORBIDDINGLY,0.39,0.379,1.789,1.051,0.4
gpt35,FORMALLY,0.39,0.379,1.095,1.051,1.939
gpt35,FOSTER,0,0,0,0,0
gpt35,FRIDAY,0,1.897,0.39,0,0
gpt35,FROWN,0,0.8,1.793,1.549,0.754
gpt35,FRUIT SALAD,0.379,1.673,1.051,1.939,1
gpt35,FUMIGANT,0,1.748,0.39,0.39,1.949
gpt35,FUNERAL HOME,0.379,0,0.8,0.379,0.8
gpt35,GARTER BELT,1.17,2.059,1.949,0,0
gpt35,GHASTLY,0.379,0,0.8,0.379,0.8
gpt35,GOOGLE,0.379,1.949,1.96,0.379,0.8
gpt35,GRADER,0,1.85,0.39,0,1.949
gpt35,GRANDBABY,0,0.39,0.8,0.379,0.8
gpt35,GREENISH,2,0.379,2,0,1.949
gpt35,GULP,1.138,0.8,0.704,1.744,0.657
gpt35,GUSHINESS,0,1.897,0,1.949,0
gpt35,HAILSTORM,0,0.78,1.96,0.78,0.8
gpt35,HALFCOCKED,0.379,0,0.8,0.379,0.8
gpt35,HAPPEN,0.379,1.949,0.8,0.379,0.8
gpt35,HARM,0,0,0.39,0,1.949
gpt35,HAVOC,0.39,0.379,1.789,1.051,0.8
gpt35,HEMOPHILIA,0,0,0,1.949,0
gpt35,HETEROSEXUAL,0,0,0.78,1.949,1.949
gpt35,HIGHHANDED,0.39,0.379,1.789,1.051,0.8
gpt35,HIMSELF,0,0,0.39,0,1.863
gpt35,HINDRANCE,0,0,0.78,0,0
gpt35,HOMESTEAD,0,1.17,2.059,1.17,0.8
gpt35,HOUSEMASTER,0,1.784,0.456,0,1.949
gpt35,HYSTERIC,0,0.748,1.793,1.166,0.78
gpt35,ICING,0,1.356,0.704,1.833,0.657
gpt35,ILLNESS,0,0.748,1.793,0.8,0.912
gpt35,IMMIGRANT,0.379,1.949,0.8,0.379,0.8
gpt35,IMPOLITE,0,0.748,1.793,0.8,0.78
gpt35,INAUDIBILITY,0.39,0.379,1.789,1.051,0.4
gpt35,INAUGURAL,0.379,1.949,0.8,0.379,0.8
gpt35,INDIRECTLY,0.4,0.759,1.559,0,0
gpt35,INFLAMER,2,0,1.17,1.559,1.949
gpt35,INFLAMING,0,0.8,1.748,0.98,0.78
gpt35,INFLEXIBLY,0.379,0,0.8,0.379,0.8
gpt35,INSTITUTIONAL,2,1.897,0,0,1.949
gpt35,INSTRUMENTALLY,0.39,0.379,1.095,1.051,1.96
gpt35,INTERCEPT,0.39,0.759,1.095,1.051,1.939
gpt35,INTERGROWTH,1.96,1.793,0,0,1.949
gpt35,INTERN,0.39,0.379,1.095,1.051,1.939
gpt35,INTERNALIZATION,0,0,0,0,0
gpt35,INTOXICATING,0,1.166,1.748,0.49,0.754
gpt35,KEEL,1.2,1.748,2,0,0
gpt35,KEYCARD,2.227,1.654,0,0,0
gpt35,KIND,0,1.166,1.914,0.748,1.17
gpt35,KLUTZINESS,0.759,0.39,0.8,0.379,1.166
gpt35,LAG,0.4,1.784,1.17,0,0
gpt35,LASER,0,1.491,1.931,1.949,0
gpt35,LEAFLET,0,0.78,0.8,0.78,0.8
gpt35,LEANNESS,0.379,0,0.8,0.379,0.8
gpt35,LESSENING,0,0.39,1.939,0.39,0.4
gpt35,LIGHT BEAM,2.315,1.793,0,0,1.949
gpt35,LIGHTLESS,2,0,2,0,1.949
gpt35,LIGHTSWITCH,2.227,1.793,2,0,1.949
gpt35,LINGUAL,0,1.265,1.784,0.49,0.39
gpt35,LIPID,0,0,0.8,1.051,1.2
gpt35,LIVER,0.379,0.39,0.8,1.051,1.166
gpt35,LOGROLLING,1.949,2.059,1.949,0,0
gpt35,LOOPING,1.2,1.654,2,0,1.949
gpt35,LOOSELY,0.8,0.759,0.39,0,0
gpt35,LOOSENESS,0.39,0.379,1.095,1.051,0.8
gpt35,LUSTROUSLY,0,0,1.17,0,0
gpt35,MAKEOVER,0.379,1.949,0.8,0.379,0.8
gpt35,MANLY,1.939,1.57,1.857,0.78,1.863
gpt35,MARBLING,0,0,1.949,0,0
gpt35,MARRIED,0.39,0.379,1.095,1.051,1.939
gpt35,MAY,0,2,0,0,0
gpt35,MEAL,0.379,1.6,0.759,1.897,0.775
gpt35,MEGAWATT,1.949,2.245,0,0,0
gpt35,MICROCOMPUTER,2.315,1.793,0.8,0,1.949
gpt35,MIDTERM,0,0.78,1.96,0.78,0.8
gpt35,MIRTH,0.39,0.379,1.789,1.051,0.8
gpt35,MISAPPROPRIATE,0.379,1.949,0.8,0.379,0.8
gpt35,MISCHARACTERIZE,0,0.8,1.554,1.549,0.78
gpt35,MONEYMAKER,0,1.63,0.39,0,1.949
gpt35,MONOCLE,0,2.245,0,0,0
gpt35,MOVE ON,0,1.11,1.939,1.17,0.8
gpt35,MULL OVER,0,0,0,0,0
gpt35,MULTISPECIES,0,1.897,0.78,0,0
gpt35,NATIONALISM,0,0,0.39,0,1.949
gpt35,NEARSIGHTEDNESS,0,1.784,2.449,0,1.949
gpt35,NEEDS,0.39,0.379,1.789,1.051,0.4
gpt35,NEWSMONGER,0,1.784,0,0,1.949
gpt35,NONCURRENT,0,0.78,1.96,0.78,0.8
gpt35,NONPRODUCTIVELY,0,0,0,0,1.949
gpt35,NONRESISTANT,0,0,0.78,0,1.949
gpt35,NONSOCIAL,0,0,0.39,0,1.949
gpt35,NOSEPIECE,1.2,1.793,1.939,2.098,0
gpt35,NOUN,0,0,0.39,0,1.949
gpt35,OLD FASHIONED,0.39,0.379,1.095,1.051,1.939
gpt35,OSCILLATE,0,1.528,1.17,0,1.949
gpt35,OUGHT,0,2,0,0,0
gpt35,OUTPOUR,0,1.897,0,1.949,0
gpt35,OUTRUN,1.949,2.059,1.949,0,0
gpt35,OUTTAKE,0.379,1.949,0.8,0.379,0.8
gpt35,PAPYRUS,0,2.245,0,0.39,0
gpt35,PARTYGOER,0,1.2,0.704,1.673,0.754
gpt35,PASSENGER SHIP,0,1.17,1.2,1.17,0.8
gpt35,PATIO,2.227,1.793,2,0,1.949
gpt35,PEEWEE,0,2.245,0,0,0
gpt35,PERCEPTIBLY,0,0,1.17,0,0
gpt35,PERILOUSLY,0.379,0,0.8,0.379,0.8
gpt35,PERSISTENT,0.78,0.379,1.72,0.704,0.4
gpt35,PESSIMISM,0,0,0.39,0,1.949
gpt35,PLACENTA,0,1.2,0,2.28,0.379
gpt35,POLITICIAN,0,0.379,0.39,0.39,2.28
gpt35,POSTMODERNIST,2,1.897,0,0,1.949
gpt35,PRECARIOUS,0,0.78,1.939,0.39,0.8
gpt35,PRECOLLEGE,0,0.78,2.059,1.17,0.8
gpt35,PREDATOR,0.39,0.379,1.789,1.051,0.4
gpt35,PREMARITAL,0.39,0.379,1.095,1.051,1.939
gpt35,PRIME,0,0.78,2.227,1.17,1.2
gpt35,PRIMITIVE,0.39,0.379,1.789,1.051,0.4
gpt35,PROBATION OFFICER,0,0.379,0.39,0,2.28
gpt35,PROHIBIT,0,0.748,1.748,1.549,0.78
gpt35,PROP UP,0,1.939,0,0,0
gpt35,PROTESTOR,0,1.789,0.759,0.894,0.754
gpt35,PRUDISHNESS,0.39,0.379,1.789,1.051,0.4
gpt35,PSYCHO,0,0,0.39,0,1.949
gpt35,QUILL,0,2.245,0,0.39,0
gpt35,REBUILD,0,1.507,2.059,1.17,1.2
gpt35,RECONNECT,0,1.897,0,0,1.949
gpt35,REEDUCATION,0.379,1.949,0.8,0.379,0.8
gpt35,REGENERATE,0,1.784,1.17,0,1.863
gpt35,REGRESSION,0,1.784,0.78,0,1.949
gpt35,REINITIATE,0.379,1.949,0.8,0.379,0.8
gpt35,RESIDUAL,0,0.39,1.96,0.78,0.8
gpt35,REVIVING,0,0.632,1.793,1.166,0.78
gpt35,REWARD,0.39,0.379,1.789,1.051,0.4
gpt35,REWASH,0.8,1.654,2,0,1.949
gpt35,RHINO,2.227,1.748,2,0,1.949
gpt35,RINGING,2,0.759,1.17,1.949,0
gpt35,RIPEN,0,2,0,0,0
gpt35,ROAMING,0,0,1.949,0,0
gpt35,ROCKSTAR,0.379,1.72,1.138,1.2,0.657
gpt35,SACREDNESS,0.379,0,0.8,0.379,0.8
gpt35,SADLY,0,0.8,1.748,0.8,0.78
gpt35,SAFFLOWER,2,1.784,1.559,0,1.949
gpt35,SALTING,0,1.793,0.39,1.863,0
gpt35,SANDBLASTER,1.949,1.939,1.949,0,0
gpt35,SCAPEGOAT,0,0,0.39,1.863,1.949
gpt35,SCRUPULOUSLY,0,0.49,1.748,1.166,0.39
gpt35,SEALER,2.227,1.528,0,0,0
gpt35,SEEDER,0,2.245,0,0,0
gpt35,SENILE,0,0,2,0,1.949
gpt35,SEPTEMBER,2,1.897,0,0,1.949
gpt35,SEXPLOITATION,0,0,0,1.949,1.949
gpt35,SHARPENER,2.227,1.528,0,0,1.949
gpt35,SHED,1.2,1.654,2,0,2.28
gpt35,SHENANIGAN,0,1.897,0.39,0,0
gpt35,SHIRTLESS,2.227,1.793,0,0,1.949
gpt35,SHIVERING,0.379,0,0.8,0.379,1.855
gpt35,SHUTTERBUG,0,2.449,1.949,0,0
gpt35,SIEVE,0,2.245,0,0,0
gpt35,SILLY,0,1.095,1.793,0.894,1.17
gpt35,SILVERSMITH,2.227,1.528,0,0,1.949
gpt35,SKIRTED,0,0.78,1.96,0.78,0.8
gpt35,SLOUCH,2.449,0,2,0,1.931
gpt35,SNIPPING,0.379,1.863,0.8,0.379,0.8
gpt35,SNUFFBOX,0,1.897,0.39,0.39,0
gpt35,SOLICITOR,0,1.789,0.759,1.166,0.78
gpt35,SPANK,2,1.654,2,1.518,2.28
gpt35,SPARE PARTS,0,2.245,0,0,0
gpt35,SPECIALTY,0.4,1.654,0.39,0,0
gpt35,SPINDLING,0.8,1.528,2,0,1.949
gpt35,SPINOUT,1.949,2.059,1.949,0,0
gpt35,STEREO,2.315,1.793,0,0,1.949
gpt35,STEW,0.379,1.2,0.759,1.833,0.657
gpt35,STREAMLINED,0,0.78,2.059,1.17,0.8
gpt35,SUBSTITUTING,0.39,0.379,1.166,1.051,1.939
gpt35,SUNDRESS,1.17,2.059,1.949,0,0.704
gpt35,SUPERIORLY,0,0.8,1.793,0.8,0.78
gpt35,SUPPOSITORY,0.8,1.528,0,1.138,0
gpt35,SURPRISED,0,1.095,1.793,0.98,0.78
gpt35,SUSTAINABLE,0,0.379,0.39,0,1.863
gpt35,SWIFTLY,0,0.78,2.059,1.17,0.8
gpt35,SYNCHRONIZED,0,1.784,0.39,0.39,1.949
gpt35,SYNDICATION,0,0.78,1.96,0.78,0.8
gpt35,TABLEWARE,0,1.528,0,0,0
gpt35,TAKE,0.379,1.931,1.96,0.379,0.8
gpt35,TALLER,2.227,1.85,2,0,1.949
gpt35,TARPAPER,1.6,1.784,0,0,1.949
gpt35,THICKHEADED,0.379,0,0.8,0.379,0.8
gpt35,TIARA,1.17,2.245,0,0,0
gpt35,TRACKER,0.379,1.863,0.8,0.379,0.8
gpt35,TRANQUIL,0.39,0.379,1.789,1.051,0.4
gpt35,TUNNEL VISION,0,0.78,2.245,1.17,1.166
gpt35,TURMOIL,0,0,0.39,0,1.949
gpt35,TYPOGRAPHER,0,1.528,0.39,0,1.949
gpt35,UNAMBIGUOUSLY,0,0,0,0,1.949
gpt35,UNCONFORMITY,0.39,0.379,1.789,1.051,0.4
gpt35,UNCONTROLLED,0.39,0.379,1.789,1.051,0.4
gpt35,UNDERNUTRITION,0,0.49,1.784,0.8,0.456
gpt35,UNDERSTANDINGLY,0.379,0,0.8,0.379,0.8
gpt35,UNFOUNDEDLY,0,0,2,0.39,0.4
gpt35,UNHEALTHFUL,0,1.897,0.39,0,1.949
gpt35,UNINTERRUPTIBLE,0,0,0,0,1.949
gpt35,UNKNOWABLY,0,0,1.17,0,0
gpt35,UNLOCKED,0,1.96,0,0,0
gpt35,UNMANAGEABLY,0,0.379,0.78,0,0
gpt35,UNPURIFIED,0.78,0.379,1.095,0.704,0.49
gpt35,UNRUSHED,0.39,0.379,1.095,1.051,1.939
gpt35,UNSKILLED,0.4,0,0.39,0,1.949
gpt35,UNTHINKING,0.39,0.379,1.789,1.051,0.4
gpt35,UNTIDY,0.369,0.78,0.8,0.78,1.96
gpt35,UNTURNED,0,1.897,2,0,2.28
gpt35,UNVEILING,0.379,1.949,0.8,0.379,0.8
gpt35,UNVISITED,0,0,0.78,0,0
gpt35,VALIANTLY,0,1.897,0.39,0,0
gpt35,VENDINGMACHINE,0,2.315,1.949,0,0
gpt35,VICIOUS,0,0,0.39,0,1.949
gpt35,VILLA,0,2.449,0,0,0
gpt35,VOLATILITY,0,0,0.78,0,0
gpt35,WARPING,0.8,1.528,2,0,1.949
gpt35,WASHED OUT,0,0.78,0.8,0.78,1.96
gpt35,WATCH OVER,1.2,0.759,2.245,0,2.28
gpt35,WATER METER,1.949,2.059,1.949,0,0
gpt35,WAYWARD,0.379,0,0.8,0.379,0.8
gpt35,WEATHERTIGHT,0.379,1.949,0.8,0.379,0.8
gpt35,WEBBING,1.2,1.654,2,0,1.949
gpt35,WHITEFISH,0.379,0.894,0.379,1.855,0.41
gpt35,WHOOPING,0,0.894,1.748,0.98,0.754
gpt35,WISTFUL,0,0,1.17,0,0
gpt35,WORSEN,0.39,0.379,1.789,1.051,0.4
gpt35,WRAITHLIKE,0,0,1.559,0,1.949
gpt35,WRITHE,2,1.793,1.17,0,1.949
gpt35,YIPPEE,0,0.748,1.748,0.8,0.78
gpt35,ZAP,0,1.833,0,0,0
gpt4,ABBREVIATE,0.39,1.939,0.39,0.39,0
gpt4,ABODE,0,0.759,0.8,0.8,0.759
gpt4,ABSCESSED,1.863,2.315,0.934,2.049,1.897
gpt4,ABYSS,0,0,0,0,0
gpt4,ACCORDANCE,0.39,1.939,0.39,0.39,0
gpt4,ADJUNCT,0.379,0.8,0,0.379,0.8
gpt4,ADJUSTMENT,0.82,1.117,0.41,0.4,0.885
gpt4,AERIAL,1.857,1.11,0.4,0,0
gpt4,AERIALLY,1.857,1.11,0.4,0,0
gpt4,AFFECTIVE,0,1.138,1.2,1.2,1.138
gpt4,AFTERSALE,0,1.949,0,0,0
gpt4,AFTERSHAVE,0,0.4,1.491,1.647,0.8
gpt4,AGING,2.28,2.449,2.049,2.28,2.098
gpt4,ALERTNESS,1.746,0.657,0.894,0.49,1.748
gpt4,ALLUSIVELY,0.39,0.4,1.11,1.863,0
gpt4,ALOE VERA,2.096,1.117,0.4,1.855,0
gpt4,ALWAYS,0,0,0,0,0
gpt4,AMBITIOUSLY,1.051,1.855,1.914,0.522,1.855
gpt4,AMERICANIZE,0.39,0.456,0.41,0.49,0.42
gpt4,AMID,0,0.39,0.39,0,0.379
gpt4,ANTLER,0.78,1.17,0.8,0.39,0
gpt4,APPLY,0,0,0,0.379,0.4
gpt4,APPRECIATORY,0.379,1.855,1.793,1.22,1.327
gpt4,ARRESTINGLY,0,0,0,0,0
gpt4,ASSASSIN,1.706,0.894,2.04,0,1.644
gpt4,ASSIGNMENT,0,1.748,1.96,0.8,0.759
gpt4,ATMOSPHERE,0.39,0.4,0.39,0.39,0
gpt4,ATOMIC,0,0.39,1.949,0,0
gpt4,AUCTION OFF,0,1.939,1.491,1.706,1.02
gpt4,AVAIL,0,2,0,0,0
gpt4,BALCONY,0,0,0,0,0
gpt4,BASEBALL BAT,2.077,0.894,0.8,0.39,0
gpt4,BEFOUL,0.759,1.96,1.793,1.61,1.02
gpt4,BEFUDDLEMENT,1.863,0.41,2.096,1.939,1.63
gpt4,BEHAVIORAL,0.759,1.2,0,0.379,1.2
gpt4,BEIGE,0,0,0,0,0
gpt4,BELATEDNESS,0,0,0,0,0
gpt4,BEND,1.897,0.8,0,0,0
gpt4,BILLFOLD,1.17,0.894,0.8,0.39,0
gpt4,BIMOLECULAR,0,0.39,1.949,0,0
gpt4,BIOSPHERE,0,0.4,0,0.379,0.4
gpt4,BLOCKHEADED,0.39,0.4,1.863,0.39,0
gpt4,BLUECOAT,0,2.28,0,0,0
gpt4,BODY BUILDING,0.894,0.894,2.315,0.39,1.549
gpt4,BOMB,2.096,1.117,0.4,0,0
gpt4,BOO,0,0.748,1.549,0.894,0.748
gpt4,BOUNDLESS,0,0.39,0.39,0,0.379
gpt4,BRAINCHILD,0,0.759,1.939,0.8,0.759
gpt4,BRAINS,0,1.949,0,0,0
gpt4,BUBBLER,0,2.059,0.551,0.934,0.4
gpt4,BUDGET,0.379,1.2,0,0.379,0.4
gpt4,BUREAUCRAT,0.39,1.939,0.39,0.39,0
gpt4,BUSTED,0.39,1.784,1.939,0.8,0.759
gpt4,CALL GIRL,0.759,1.939,1.914,0.934,1.02
gpt4,CAMPER,1.117,1.062,1.166,0,1.644
gpt4,CANCER,0.759,1.855,1.784,1.612,1.939
gpt4,CASING,0,2.315,0,0,0
gpt4,CENT,0,2.049,0,0,0
gpt4,CHALLENGE,1.857,2.245,1.857,0.39,0.759
gpt4,CHART,0,2.096,0.456,0,0
gpt4,CHEERFULNESS,0.379,2.098,2.098,1.18,1.265
gpt4,CHEMISTRY,0,0.39,1.949,0,0.379
gpt4,CHOREOGRAPH,0.894,0.894,1.612,0.49,1.549
gpt4,CHURCHMAN,0,0.704,0.8,0.8,0.759
gpt4,CIVIL SUIT,0,0.456,0.456,0,0.379
gpt4,CLEANER,1.863,0.934,0,0.4,0
gpt4,CLEANUP,1.414,0,1.949,0.759,1.166
gpt4,CLEARINGHOUSE,0,0.456,0.456,0,0.379
gpt4,CLERGY,0,0.704,0.8,0.8,0.759
gpt4,CLIMATOLOGIC,0,0.4,0,0.379,0.4
gpt4,CLING TO,2.077,0.894,1.2,0.39,1.549
gpt4,CLOWNERY,1.931,2.315,2.049,2.28,1.748
gpt4,COIL,1.17,0.894,1.2,0.39,0
gpt4,COLLATERALLY,0,0,0,0,0
gpt4,COLONIZE,0.759,1.2,0,0.379,0.8
gpt4,COLOR,0,0,0,0,0
gpt4,COMATOSE,0.39,0.39,0.4,0.39,0
gpt4,COMBUST,0.39,0.39,0.4,0.39,0
gpt4,COMMOTION,0.704,1.744,1.914,0.41,1.855
gpt4,COMPATIBILITY,0,0.759,0.8,0.8,0.759
gpt4,COMPLICATED,0.39,0.39,1.746,0.49,0.42
gpt4,COMPOSITIONALLY,0.759,1.2,0,0.379,1.2
gpt4,COMPROMISING,0.39,1.939,0.39,0.39,0
gpt4,CONFUSABILITY,0,1.138,1.2,1.2,1.138
gpt4,CONGRUOUSLY,0.39,0.39,0.456,0.4,0.42
gpt4,CONSTITUTION,0,0.39,1.949,0.4,0.379
gpt4,COPE WITH,0.39,1.57,1.939,1.166,1.138
gpt4,COPYHOLDER,0,2,0,0,0
