source,word,aoa,arousal,conc,dom,fam,image,size,gender,valence,humor,social
scope,flea,3.606,2.656,6.424,4.375,4.515,5.938,1.4,4.406,3.469,2.347826087,2.157894737
scope,fleet,5,3.824,5.086,4.914,3.677,5.059,5.212,4.714,4.714,2.25,4.25
scope,flourish,5.412,6.5,3.029,6.059,4.382,3.941,4.914,2.412,7.543,2.483870968,4.363636364
scope,food,1.765,6.735,6.313,6.606,6.87,6.5,4.242,4.133,7.606,2.181818182,4
scope,forehead,2.743,3.382,6.714,5.114,5.818,6.657,3.4,4.229,5.257,2.411764706,1.590909091
scope,forge,5.5,4.781,3.719,5.621,3.467,3.581,4.613,5.172,4.969,2.161290323,2.409090909
scope,fortress,4.294,5.281,6.182,5.484,4.194,6.094,6.03,5.242,5.394,2,2.285714286
scope,fraud,5.824,5.152,3.941,3.941,4.559,3.114,4.714,4.735,2.257,1.906976744,3.833333333
scope,freedom,3.971,7.2,2.229,7.735,6.152,3.429,6.143,4.086,8.559,2.129032258,6.217391304
scope,function,5,3.667,3.758,5.618,5.727,3.029,4.424,4.529,5.765,2.5,3.791666667
scope,fuss,3.382,4.265,2.5,4.667,5.636,3.677,4,3.273,3.265,2.62962963,3.5
scope,gain,3.794,4.788,3.429,6.471,5.625,3.677,4.412,4.273,6.531,2.085714286,2.956521739
scope,game,3.0508561,4.900329644,5.236180991,5.68108357,5.824886062,5.685826369,4.209960707,5.132212866,5.623639351,2.590909091,4.958333333
scope,garbage,3.971,2.853,6.242,4.971,4.406,6.286,4.242,5.029,2.941,2.5,2.266294227
scope,giraffe,2.412,4.829,6.912,5.286,5.242,6.914,5.5,3.657,5.758,3.096774194,1.347826087
scope,gist,5.743,3.559,2.4,5.571,5.029,2.057,3.677,4.056,5.667,2.965517241,2.95
scope,glacier,5.143,5.059,6.086,4.839,4.818,6.441,5.909,4.086,5.286,2.033333333,2
scope,glee,5.086,6.242,2.8,6.212,4.242,4.529,4.559,2.647,7.618,2.805555556,4.681818182
scope,gloom,4.5,2.882,2.618,3.559,4.367,3.788,4.273,4.594,2.818,1.888888889,2.666666667
scope,goose,2.441,3.686,6.429,5.257,5.625,6.314,2.971,3.886,5.4,2.966666667,1.818181818
scope,greed,3.677,4.485,3.206,4.647,5.406,3.636,4.906,5.594,2.343,1.827586207,4.84
scope,grind,5.229,4.771,4.229,5,4.771,4.029,3.152,4.971,4.121,2.896551724,2.681818182
scope,guilt,4.147,4.625,2.529,3.118,6,3,5.529,4.061,2.294,1.5,5.32
scope,guitar,3.212,5.548,6.677,5.688,6.435,6.724,3.906,4.964,6.548,2.027027027,2.863636364
scope,hall,3,2.867,5.968,4.903,6.037,5.893,4.469,4.103,5.103,2.333333333,3.818181818
scope,ham,2.029,3.636,6.647,5,6.177,6.588,2.588,4.471,5.257,2.678571429,1.7
scope,hammock,4.559,4.152,6.258,5.294,4.677,6.121,3.588,4.382,5.758,2.194444444,2.263157895
scope,hand,1.722,3.794,6.667,5.735,6.882,6.912,2.943,4.25,5.829,2.153846154,3.157894737
scope,handle,2.971,3.412,5.697,5.97,5.576,5.265,2.941,4.265,5.303,2,2.916666667
scope,harvest,4.219,4.933,5,5.516,4.172,4.8,5.355,4.25,6.531,2.527777778,4.285714286
scope,hate,2.857,5.147,3.143,4.353,6.114,3.314,5.455,4.857,1.618,1.44,5.545454545
scope,head,2.976007036,4.957845248,6.00386171,6.153498089,5.93598393,6.006718033,3.696430942,4.854690193,5.95262956,2.35,2.181818182
scope,health,3.438,5.406,3.968,5.484,6.607,4.727,5.548,3.656,7.394,1.681818182,4.608695652
scope,heaven,2.771,6.219,2.314,4.514,5.844,4.457,6.455,3.147,7.457,2,4.684210526
scope,hit,3.073689883,5.313587345,4.861602002,5.466083115,5.625830434,4.78844036,4.166023892,4.770830493,4.148861833,2,4.210526316
scope,honey,2.6,5.206,5.8,5.286,5.969,5.97,2.8,2.455,6.455,2.527777778,2.598513011
scope,hope,3.353,6.849,2.455,6.212,6.364,3.5,5.735,2.971,8,2.372093023,4.727272727
scope,hostage,5.371,5.714,5.429,2.286,4.912,5.543,4.429,4.629,1.8,1.710526316,5.086956522
scope,hostess,5.057,5.086,5.886,5.412,4.818,5.629,3.618,1.486,5.882,2.666666667,5.826086957
scope,hurdle,4.514,4.546,4.875,5.364,4.733,5.394,4.294,4.5,4.229,2.441176471,3.052631579
scope,husband,3.029,5.588,5.971,5.382,6.212,5.853,4.706,6.441,6.677,2.038461538,6.333333333
scope,impress,4.265,6.143,3.485,6.429,6,3.394,4.939,3.727,7.147,2.266666667,5.333333333
scope,incest,6.412,3.849,4.118,4.206,4.656,4.412,4.455,4.529,1.441,1.613636364,5.727272727
scope,island,3.057,5.438,6.313,5.029,5.625,6.412,4.824,3.667,6.485,2.24137931,2.363636364
scope,issue,5.068551635,4.30626706,3.243579384,5.144505054,5.383115136,3.277366501,4.550257455,3.849166112,4.656986628,2.236842105,3.55
scope,item,3.529,3.212,5.594,5.147,6.059,4.647,2.879,3.829,5.143,2.3125,2
scope,jacket,2.4,4.412,6.743,5.629,6.412,6.829,3.229,4.629,5.343,2.193548387,1.7
scope,jewel,3.229,6.5,6.286,5.941,5.121,6.571,2.686,2.114,7.143,2.342857143,2.666666667
scope,jungle,2.735,5.788,6.485,5.29,5.323,6.355,6.313,4.879,5.563,2.450980392,1.952380952
scope,junk,3.4,3.242,5.088,4.743,5.424,5.571,3.471,4.912,2.735,2.333333333,2
scope,justice,5.143,6.143,2.971,6.206,5.697,3.571,5.714,3.818,7.514,1.925925926,6.181818182
scope,kill,2.943,5.086,4.229,4.371,5.344,5.457,5.857,5.886,1.486,1.428571429,5.095238095
scope,knock,2.849,4.875,5.807,5.387,6.355,5.625,3.903,4.546,4.833,2.648648649,2.954545455
scope,knowledge,4.219,7.129,2.387,7.226,6.231,2.781,5.875,4.379,8.156,2.4,4.625
scope,lace,3.8,4.879,6.353,4.543,5.588,6.143,2.2,2.029,5.829,2.452380952,1.708333333
scope,ladder,2.912,3.412,6.588,5.394,5.941,6.543,4.212,5.265,5.515,2.3,1.695652174
scope,launch,4.188,5.516,3.313,6.188,4.9,3.909,5.094,4.643,6.061,2.294117647,2.857142857
scope,leaf,2.114,3.543,6.324,5.412,6.212,6.314,2.121,3.353,5.735,2.290322581,1.739130435
scope,leisure,4.941,5.765,3.457,6.029,5.5,4.177,4.706,3.371,7.235,2.619047619,5.090909091
scope,leopard,3.091,5.75,6.727,5,5.281,6.824,4.235,4.059,5.636,2.129032258,1.583333333
scope,lettuce,3.056,2.556,6.743,5.353,6.375,6.794,2.194,3.111,5.486,2.4375,1.590909091
scope,limit,4.143,3.543,2.824,3.4,5.735,2.529,3.714,4.088,4.147,2.133333333,2.434782609
scope,line,2.171,3.313,5.529,4.735,5.735,6.114,3.147,4.088,5.029,2.055555556,1.826086957
scope,lobster,3.743,4.914,6.771,5.257,5.029,6.677,3.2,4.457,5.294,3,1.65
scope,luck,2.657,6.849,2.206,4.882,5.879,3.441,4.657,3.4,7.914,2.774193548,3.473684211
scope,luggage,3.972,3.382,6.588,5.457,5.235,6.5,4.139,4.057,5.206,2.172413793,2.375
scope,lumber,5.372103335,3.136134994,5.128275644,4.712784635,3.952186492,5.204543605,4.310035542,5.390327396,4.391848459,2.682926829,1.714285714
scope,lunch,2.057,5.029,5.606,5.629,6.75,5.914,3.118,3.441,6.152,2.424242424,4.5
scope,lust,5.771,7.353,2.794,4.743,5.781,4.171,5.441,3.514,5.543,2.823529412,5.043478261
scope,malice,6.059,5.394,2.788,4.735,4.03,2.625,4.618,4.824,2.441,2.085714286,3.117647059
scope,mammal,3.853,4.118,6.294,6.152,5.382,6.2,5,4.5,5.824,2.277777778,4.363636364
scope,mansion,4.097,5.969,6.621,6.719,5.077,6.419,5.452,4.333,6.645,2,4.6
scope,marvel,5.229,6.147,2.849,5.75,3.588,3.514,5.529,4.235,7.314,2.529411765,3.826086957
scope,mate,4.090891823,6.289079747,5.211220348,6.11942061,5.671297532,5.388860174,4.454057933,5.234669865,7.189124091,2.825,6.2
scope,melon,3.156,4.484,6.71,5.419,5.667,6.69,2.75,3.035,5.939,2.840909091,1.636363636
scope,menace,4.086,5.576,3.343,5.088,4.029,3.857,4.943,5.429,2.571,2.090909091,4.913043478
scope,merchant,5.25,3.936,5.161,5.188,4.069,4.875,4.133,5.25,5.4,2.193548387,5.368421053
scope,message,3.471,4.743,5.171,5.543,6.235,4.857,3.171,3.853,5.471,1.795454545,5.772727273
scope,metal,3.161,4.5,6.214,5.419,5.704,5.903,4.031,5.241,5.097,1.642857143,1.363636364
scope,methane,6.177,3.273,5.429,4.677,3.939,3.714,3.677,4.618,4.2,2.153846154,2
scope,method,4.778,3.441,3,5.457,5.938,2.882,4.059,4.771,5.686,2.333333333,2.272727273
scope,midst,4.886,3.242,2.912,4.706,4.548,3.029,3.529,3.97,5.065,2.230769231,2.476190476
scope,mirror,2.353,4.382,6.588,5.063,6.438,6.471,3.735,2.706,5.118,2.256410256,2.285714286
scope,mischief,3.377,6.328,2.729,5.765,5.303,4.118,4.5,4.582,4.333,2.548387097,4.380952381
scope,mistress,6.029,5.441,5.242,5.118,5.267,5.412,4.382,2.088,3.455,2.666666667,5.916666667
scope,model,4.2,5.065,5.324,5.029,5.355,5.629,4,2.353,5.824,1.9375,4.681818182
scope,moisture,4.594,5.375,5.031,4.688,5.615,4.968,3.281,3.29,5.161,2.594594595,1.375
scope,moment,3.875,4.813,2.3,5.719,5.828,2.645,3.226,3.645,5.813,2.125,3
scope,monarch,5.171,4.059,5.286,4.818,4.471,5.818,5.576,4.152,5.324,2.518518519,5.1
scope,monkey,2.114,5.353,6.559,5.257,5.647,6.794,3.257,4.857,6.057,3.2,2.28
scope,monster,2.206,6.121,3.882,4.273,5.563,5.971,5.441,5.294,2.735,2.162162162,3.363636364
scope,mood,3.471,4.906,2.6,4.882,6.226,2.765,4.229,3.515,5.313,2.575,4.909090909
scope,morsel,5.121,3.531,4.172,3.903,3.97,4.807,2.438,4.091,3.903,2.738095238,2.277777778
scope,moth,3.147,3.394,6.625,4.813,5.207,6.8,1.576,3.871,4,2.344827586,1.391304348
scope,mother,1.629,5.143,6,4.914,6.613,6.594,5.242,1.088,8.314,2.189189189,6.666666667
scope,mug,3.029597259,3.323184441,6.382567603,5.399174191,5.885634573,6.390535241,2.644250374,4.325034262,5.132256018,2.266666667,2.04
scope,mural,5.344,3.355,5.645,5.567,3.355,5.033,4.133,3.469,5.906,2.021276596,2.391304348
scope,myth,4.529,6.147,1.879,4.516,4.938,3.194,4.882,3.706,5.029,2.076923077,4.173913043
scope,necklace,2.8,5.2,6.714,6.029,6.242,6.543,2.771,1.543,5.743,2.483870968,1.684210526
scope,nectar,4.629,5.314,5.971,5.571,4.441,5.371,2.853,2.794,6.6,2.925925926,2.272727273
scope,needle,3.2,4.829,6.714,4.486,5.606,6.429,2,3.286,3.677,2.032258065,1.47826087
scope,neglect,5.086,4.576,2.794,3.188,4.667,4.057,4.912,4.429,1.571,1.384615385,5.291666667
scope,neutral,4.5,4,3.394,4.774,5.323,2.636,3.909,3.485,5.206,2.457142857,2.714285714
scope,notion,5.548,4.774,2.121,5.567,4.6,2.219,4.032,3.964,5.656,2.206896552,3.772727273
scope,nuisance,4.257,4.086,2.943,4.294,5.147,3.314,3.912,4.257,2.686,2.375,4.047619048
scope,nurture,5.294,4.849,3.257,5.618,4.875,3.636,4.438,1.879,7.177,2.185185185,5.181818182
scope,office,3.394,3.613,6.25,4.515,6.194,6.484,4.313,4.455,4.485,1.96,4.15
scope,ordeal,5.583,4.588,3.314,3.242,4.936,3.429,5.543,3.75,2.6,2.277777778,3.590909091
scope,outrage,5.235,5.794,3.2,5.6,5.438,4.657,5.818,4.677,2.371,2.107142857,4.888888889
scope,packet,2.686,3.765,5.97,5.257,6.097,5.909,2.914,4.265,5.177,2.387096774,1.739130435
scope,palace,3.182,5.807,6.29,5.323,4.759,6.033,5.774,2.967,6.212,2.314285714,3.909090909
scope,pamphlet,5.182,2.882,6.546,4.727,4.364,6.424,2.719,3.706,5.088,2.260869565,3.291666667
scope,panther,3.972,5.8,6.765,5.543,4.774,6.265,4.677,4.743,5.314,2.575757576,2.045454545
scope,parade,3.829,6.059,5.8,5.563,5.121,6.177,5.912,3.706,6.8,2.575757576,6
scope,parrot,2.455,4.303,6.647,5.182,5.097,6.636,2.939,4.206,5.735,2.703703704,2.1
scope,passage,4.484,4.586,4.871,5.167,4.8,5.29,3.9,3.807,5.625,2.869565217,2.875
scope,passion,5.265,7.576,3.194,6.618,6.031,3.697,5.647,2.839,8.125,2.277777778,5.136363636
scope,pause,3.303,2.879,4.059,4.529,5.871,3.182,3.281,3.939,4.882,2.085714286,2.666666667
scope,pelvis,5.588,4.824,6.5,5.273,5.394,5.971,3.471,4.088,5.091,2.878787879,1.434782609
scope,pension,5.323,3.607,4.515,3.75,5.185,2.936,3.906,4.258,5.788,2.222222222,3.3
scope,people,2.235,5.697,6.226,5.457,6.548,6.364,5.344,4.029,6.333,2.194444444,6.904761905
scope,person,2.371,4.743,6.371,5.471,6.581,6.147,4.441,3.939,5.75,2.189189189,5.952380952
scope,pest,3.219,4.219,4.625,4.419,5.4,5.313,3.065,4.727,2.906,2.394736842,2.523809524
scope,phantom,4.697,5.294,2.636,4.353,3.515,4.485,4.469,4.667,3.406,2.5,2.318181818
scope,phase,4.943,3.618,3.091,4.8,5.031,2.971,3.765,4.057,5.059,1.870967742,2.458333333
scope,pheasant,4.441,3.031,6.618,4.735,4.235,6.177,3.576,4.667,4.941,2.764705882,2.083333333
scope,picket,5.645,4.621,5.3,4.933,4,4.828,3.767,4.161,4.75,2.111111111,3.05
scope,picture,2.212,4.879,5.912,5.697,6.606,5.969,3.794,3.382,6.118,1.911764706,3.416666667
scope,piece,2.412,3.471,4.941,5.147,6.206,4.471,2.118,3.656,5.088,2.161290323,2.28
